lfdn,code_2320,code_2330
8958,5.0,10.0
18654,2.0,4.0
4673,3.0,4.0
18655,3.0,3.0
4674,2.0,3.0
8402,3.0,4.0
18656,2.0,13.0
18657,3.0,6.0
18658,3.0,13.0
18659,3.0,4.0
18660,3.0,14.0
7485,2.0,3.0
7686,3.0,13.0
18661,3.0,4.0
4678,2.0,4.0
3414,2.0,3.0
18662,3.0,4.0
18663,3.0,6.0
18664,5.0,13.0
18665,2.0,3.0
1625,4.0,9.0
11721,3.0,3.0
18666,3.0,4.0
10530,5.0,9.0
18667,3.0,4.0
14159,3.0,4.0
4415,4.0,9.0
18668,3.0,4.0
18669,3.0,12.0
7248,5.0,12.0
6828,9.0,
15920,5.0,4.0
14220,3.0,12.0
8399,5.0,7.0
2633,2.0,3.0
18670,2.0,3.0
18671,5.0,10.0
18030,3.0,4.0
18672,3.0,4.0
18673,3.0,12.0
18674,5.0,12.0
18675,5.0,13.0
18676,5.0,4.0
18677,5.0,6.0
18678,2.0,3.0
18679,2.0,6.0
11725,4.0,4.0
4496,2.0,3.0
5964,3.0,4.0
13599,5.0,13.0
5514,5.0,9.0
13689,3.0,4.0
12044,5.0,9.0
18680,5.0,14.0
18681,5.0,14.0
18682,2.0,3.0
18683,3.0,8.0
18684,4.0,7.0
18685,2.0,6.0
9274,2.0,12.0
4069,4.0,7.0
15692,2.0,4.0
18686,3.0,4.0
18687,4.0,6.0
18688,3.0,4.0
18689,2.0,13.0
18690,3.0,13.0
18691,5.0,10.0
18692,2.0,14.0
4988,5.0,10.0
15309,2.0,3.0
13295,2.0,12.0
12364,2.0,2.0
18693,3.0,4.0
18694,3.0,8.0
18695,3.0,13.0
12260,2.0,4.0
18696,2.0,3.0
18697,3.0,3.0
18698,2.0,4.0
4707,2.0,14.0
18699,4.0,6.0
687,2.0,3.0
14863,2.0,7.0
10750,5.0,9.0
15357,2.0,4.0
5169,2.0,4.0
12488,2.0,3.0
366,2.0,12.0
18700,2.0,3.0
18701,9.0,
18702,5.0,4.0
18703,3.0,12.0
18704,2.0,14.0
18705,5.0,10.0
2790,4.0,7.0
5854,3.0,12.0
3197,2.0,6.0
7590,4.0,7.0
18706,5.0,10.0
18707,5.0,10.0
1131,3.0,4.0
7359,2.0,12.0
9629,5.0,6.0
18708,5.0,9.0
18709,2.0,3.0
18710,2.0,4.0
18711,3.0,13.0
8031,3.0,6.0
1864,3.0,6.0
11353,2.0,14.0
16827,1.0,3.0
9832,1.0,14.0
18712,2.0,3.0
18713,2.0,14.0
18714,4.0,10.0
4727,5.0,5.0
5417,5.0,10.0
4730,4.0,13.0
17118,3.0,4.0
18715,2.0,14.0
3077,2.0,14.0
4733,3.0,6.0
1542,5.0,9.0
18716,3.0,6.0
18717,3.0,12.0
